SCORPION;price;reference;width;height;depth;weight;name
SCORPION;582.500000;EHA54CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on (Pair)"
SCORPION;582.500000;EHA54CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on (Pair)"
SCORPION;582.500000;EHA54CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on (Pair)"
SCORPION;665.000000;EHA54CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;665.000000;EHA54CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;665.000000;EHA54CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;665.000000;EHA54CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;499.200000;EHA54SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on (Pair)"
SCORPION;499.200000;EHA54SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on (Pair)"
SCORPION;499.200000;EHA54SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on (Pair)"
SCORPION;499.200000;EHA54SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on (Pair)"
SCORPION;582.500000;EHA54SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;582.500000;EHA54SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;582.500000;EHA54SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;582.500000;EHA54SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;665.000000;EHA54TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;665.000000;EHA54TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;665.000000;EHA54TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;665.000000;EHA54TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;290.800000;EHA56CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA56CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA56CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA56CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;332.500000;EHA56CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA56CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA56CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA56CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;249.200000;EHA56SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;249.200000;EHA56SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;249.200000;EHA56SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;249.200000;EHA56SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA56SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA56SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA56SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA56SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA56TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA56TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA56TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA56TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;332.500000;EHA56TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA56TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA56TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA56TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA63CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA63CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA63CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA63CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;332.500000;EHA63CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA63CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA63CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA63CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;249.200000;EHA63SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;249.200000;EHA63SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
