Active;Name ;Price tax excluded;Tax rules ID;Wholesale price;Reference #;Supplier;Manufacturer;EAN13;Width;Height;Depth;Weight;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store
1;Mishimoto Mazda RX-7 w/ LS Fan Shroud Kit, 1993-1997;214.88;78;118.184;MMFS-RX-LS;Resource Intl Automotive LT;Mishimoto;748354805079;58.42;13.97;69.85;9.51;Mishimoto,Mazda,RX-7,w/,LS,Fan,Shroud,Kit,,1993-1997,MMFS-RX-LS,Mishimoto;Mishimoto Mazda RX-7 w/ LS Fan Shroud Kit, 1993-1997;Mishimoto,Mazda,RX-7,w/,LS,Fan,Shroud,Kit,,1993-1997,MMFS-RX-LS,Mishimoto;Mishimoto-MMFS-RX-LS;3
1;Mishimoto Nissan 240SX w/ SR20 Fan Shroud Kit, 1989-1994;214.88;78;118.184;MMFS-S13-89SR;Resource Intl Automotive LT;Mishimoto;748354798975;53.34;15.24;78.74;10.67;Mishimoto,Nissan,240SX,w/,SR20,Fan,Shroud,Kit,,1989-1994,MMFS-S13-89SR,Mishimoto;Mishimoto Nissan 240SX w/ SR20 Fan Shroud Kit, 1989-1994;Mishimoto,Nissan,240SX,w/,SR20,Fan,Shroud,Kit,,1989-1994,MMFS-S13-89SR,Mishimoto;Mishimoto-MMFS-S13-89SR;3
1;Mishimoto Nissan 240SX w/ SR20 Fan Shroud Kit, 1995-1998;214.88;78;118.184;MMFS-S14-95SR;Resource Intl Automotive LT;Mishimoto;748354798968;15.24;54.61;78.74;10.93;Mishimoto,Nissan,240SX,w/,SR20,Fan,Shroud,Kit,,1995-1998,MMFS-S14-95SR,Mishimoto;Mishimoto Nissan 240SX w/ SR20 Fan Shroud Kit, 1995-1998;Mishimoto,Nissan,240SX,w/,SR20,Fan,Shroud,Kit,,1995-1998,MMFS-S14-95SR,Mishimoto;Mishimoto-MMFS-S14-95SR;3
1;Mishimoto Honda S2000 Fan Shroud Kit, 2000-2009;214.88;78;118.184;MMFS-S2K-00;Resource Intl Automotive LT;Mishimoto;748354798951;43.18;68.58;7.62;4.54;Mishimoto,Honda,S2000,Fan,Shroud,Kit,,2000-2009,MMFS-S2K-00,Mishimoto;Mishimoto Honda S2000 Fan Shroud Kit, 2000-2009;Mishimoto,Honda,S2000,Fan,Shroud,Kit,,2000-2009,MMFS-S2K-00,Mishimoto;Mishimoto-MMFS-S2K-00;3
1;Mishimoto Subaru Impreza WRX/STI Fan Shroud Kit, 2008-2014;234.76;78;129.118;MMFS-STI-08P;Resource Intl Automotive LT;Mishimoto;748354011227;19.05;59.69;79.38;15.05;Mishimoto,Subaru,Impreza,WRX/STI,Fan,Shroud,Kit,,2008-2014,MMFS-STI-08P,Mishimoto;Mishimoto Subaru Impreza WRX/STI Fan Shroud Kit, 2008-2014;Mishimoto,Subaru,Impreza,WRX/STI,Fan,Shroud,Kit,,2008-2014,MMFS-STI-08P,Mishimoto;Mishimoto-MMFS-STI-08P;3
1;Mishimoto Toyota Supra Fan Shroud Kit, 1986-1992;214.88;78;118.184;MMFS-SUP-86;Resource Intl Automotive LT;Mishimoto;748354800180;53.34;15.24;78.74;10.67;Mishimoto,Toyota,Supra,Fan,Shroud,Kit,,1986-1992,MMFS-SUP-86,Mishimoto;Mishimoto Toyota Supra Fan Shroud Kit, 1986-1992;Mishimoto,Toyota,Supra,Fan,Shroud,Kit,,1986-1992,MMFS-SUP-86,Mishimoto;Mishimoto-MMFS-SUP-86;3
1;Mishimoto Toyota Supra Fan Shroud Kit, 1993-1998;214.88;78;118.184;MMFS-SUP-93T;Resource Intl Automotive LT;Mishimoto;748354798944;48.26;76.2;10.16;6.23;Mishimoto,Toyota,Supra,Fan,Shroud,Kit,,1993-1998,MMFS-SUP-93T,Mishimoto;Mishimoto Toyota Supra Fan Shroud Kit, 1993-1998;Mishimoto,Toyota,Supra,Fan,Shroud,Kit,,1993-1998,MMFS-SUP-93T,Mishimoto;Mishimoto-MMFS-SUP-93T;3
1;"Mishimoto 87-06 Wrangler YJ/TJ Fan Shroud+CNTRL 1/8"" NPT + Push Probe";447.37;78;246.0535;MMFS-WRA-87K;Resource Intl Automotive LT;Mishimoto;811580037726;18.8;59.69;78.74;14.73;"Mishimoto,87-06,Wrangler,YJ/TJ,Fan,Shroud+CNTRL,1/8"",NPT,+,Push,Probe,MMFS-WRA-87K,Mishimoto";"Mishimoto 87-06 Wrangler YJ/TJ Fan Shroud+CNTRL 1/8"" NPT + Push Probe";"Mishimoto,87-06,Wrangler,YJ/TJ,Fan,Shroud+CNTRL,1/8"",NPT,+,Push,Probe,MMFS-WRA-87K,Mishimoto";Mishimoto-MMFS-WRA-87K;3
1;Mishimoto Subaru Impreza WRX/STI Fan Shroud Kit, 2002-2007;288.71;78;158.7905;MMFS-WRX-01P;Resource Intl Automotive LT;Mishimoto;748666008571;19.05;59.69;78.74;14.93;Mishimoto,Subaru,Impreza,WRX/STI,Fan,Shroud,Kit,,2002-2007,MMFS-WRX-01P,Mishimoto;Mishimoto Subaru Impreza WRX/STI Fan Shroud Kit, 2002-2007;Mishimoto,Subaru,Impreza,WRX/STI,Fan,Shroud,Kit,,2002-2007,MMFS-WRX-01P,Mishimoto;Mishimoto-MMFS-WRX-01P;3
1;Mishimoto 45Â° -10 AN Push On Swivel Adapter, Aluminum;17.51;78;9.6305;MMFT-10AN-45;Resource Intl Automotive LT;Mishimoto;811580037337;5.08;5.08;5.08;0.02;Mishimoto,45Â°,-10,AN,Push,On,Swivel,Adapter,,Aluminum,MMFT-10AN-45,Mishimoto;Mishimoto 45Â° -10 AN Push On Swivel Adapter, Aluminum;Mishimoto,45Â°,-10,AN,Push,On,Swivel,Adapter,,Aluminum,MMFT-10AN-45,Mishimoto;Mishimoto-MMFT-10AN-45;3
